t,X,Y,psi,psi_deg,u,v,r,E,rudder,sail,rudder_deg,sail_deg,rudder_nom,sail_nom,rudder_nom_deg,sail_nom_deg,psi_ref,psi_ref_deg,commanded_no_go,beta_w_to,beta_w_from,beta_w_from_deg,alpha_wind,alpha_wind_deg,h_wind,in_no_go,state_in_no_go,tack_side,dmin,h_obs,h_energy,distance_to_goal,mode,mode_reason,method,scenario,is_control_update,control_index,solver_status,solver_time_s,req_progress,pred_min_h_wind,pred_min_h_obs,pred_min_h_energy,pred_progress,pred_h_wind,pred_h_obs,pred_h_energy,pred_no_go_duration,slack_wind,slack_obs,slack_energy,slack_progress,safety_slack,progress_slack,slack_total,max_slack,slack_feasible,wind_constraint_ok,obs_constraint_ok,energy_constraint_ok,progress_constraint_ok,raw_wind_safe,raw_obs_safe,raw_energy_safe,raw_feasible_candidate_exists,chosen_candidate_raw_safe,candidate_type_selected,candidate_set_size,infeasible_reason,intervention,minimal_correction_norm,rudder_correction_deg,sail_correction_deg
0.0,0.0,0.0,1.3962634015954636,80.0,0.0,0.0,0.0,0.34,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9670597283903604,170.0,2.181661564992912,False,False,1,1000000.0,999994.0,0.16000000000000003,90.0,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,True,0,sampled_horizon_raw_safe,0.0,0.07,2.082745958420558,999994.0,0.15653450766844276,0.07077253903933922,2.082745958420558,999994.0,0.15653450766844276,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal,78,none,False,0.0,0.0,0.0
0.2,4.125105028041632e-05,0.00047085696569701505,1.3962631400687542,79.99998501562332,0.0047086369455313195,0.00040397727947733876,-5.239307848902589e-06,0.33989455701104104,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9670594668636507,169.9999850156233,2.1816613034662025,False,False,1,1000000.0,999994.0,0.15989455701104105,89.99995875018142,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,0,sampled_horizon_raw_safe,0.0,0.07,2.082745958420558,999994.0,0.15653450766844276,0.07077253903933922,2.082745958420558,999994.0,0.15653450766844276,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal,78,none,False,0.0,0.0,0.0
0.4,0.00017068057866513112,0.0018823900055787105,1.3962593165742723,79.99976594552652,0.009416911453863239,0.000765878495425043,-4.026424082116523e-05,0.33978842372219265,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.967055643369169,169.99976594552652,2.1816574799717205,False,False,1,1000000.0,999994.0,0.15978842372219265,89.99982933910688,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,0,sampled_horizon_raw_safe,0.0,0.07,2.082745958420558,999994.0,0.15653450766844276,0.07077253903933922,2.082745958420558,999994.0,0.15653450766844276,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal,78,none,False,0.0,0.0,0.0
0.6000000000000001,0.00039613733881346374,0.004233109353412983,1.3962433434689636,79.99885075400661,0.014124499096440805,0.0010901078821984127,-0.00013065864688496933,0.339681600211045,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.96703967026386,169.9988507540066,2.181641506866412,False,False,1,1000000.0,999994.0,0.159681600211045,89.99960396221282,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,0,sampled_horizon_raw_safe,0.0,0.07,2.082745958420558,999994.0,0.15653450766844276,0.07077253903933922,2.082745958420558,999994.0,0.15653450766844276,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal,78,none,False,0.0,0.0,0.0
0.8,0.0007246930455317852,0.007521607216045598,1.3962019278387254,79.9964778131881,0.018831146673623216,0.001380642343009842,-0.0002979886233823094,0.33957408659790367,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.966998254633622,169.99647781318808,2.1816000912361737,False,False,1,1000000.0,999994.0,0.15957408659790367,89.9992756212602,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,0,sampled_horizon_raw_safe,0.0,0.07,2.082745958420558,999994.0,0.15653450766844276,0.07077253903933922,2.082745958420558,999994.0,0.15653450766844276,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal,78,none,False,0.0,0.0,0.0
1.0,0.0011627831573910463,0.011746553823816081,1.3961178197798363,79.99165877639071,0.023536700236529484,0.0016410882597352103,-0.0005603412041209892,0.33946588303323477,-0.6108652381980153,1.165007275706215,-35.0,66.75000000000001,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.00013051895024835037,-0.007478184995708444,False,1.5707963267948966,-1.5707963267948966,-90.0,2.966914146574733,169.9916587763907,2.1815159831772846,False,False,1,1000000.0,999994.0,0.15946588303323478,89.99883798341654,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,True,1,sampled_horizon_raw_safe,0.0,0.07,2.0376784991470585,999994.0,0.15653482972706584,0.09764027241025985,2.0376784991470585,999994.0,0.15653482972706584,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,rudder_sail_grid,78,none,True,0.08313622748026167,0.0,-18.245829388195343
1.2,0.0017083278077212318,0.016861243101919107,1.3959710161575458,79.98324754841623,0.027779604683834225,0.0018747300128557614,-0.0009243112260345512,0.3393774089624537,-0.6108652381980153,1.165007275706215,-35.0,66.75000000000001,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.00013051895024835037,-0.007478184995708444,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9667673429524424,169.98324754841622,2.181369179554994,False,False,1,1000000.0,999994.0,0.15937740896245373,89.99829325167514,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,1,sampled_horizon_raw_safe,0.0,0.07,2.0376784991470585,999994.0,0.15653482972706584,0.09764027241025985,2.0376784991470585,999994.0,0.15653482972706584,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,rudder_sail_grid,78,none,True,0.08313622748026167,0.0,-18.245829388195343
1.4,0.0023588851770715885,0.022819102768725164,1.3957411924184395,79.97007961813352,0.03202187797979905,0.0020845677397048025,-0.0013919701990777762,0.33928831289932887,-0.6108652381980153,1.165007275706215,-35.0,66.75000000000001,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.00013051895024835037,-0.007478184995708444,False,1.5707963267948966,-1.5707963267948966,-90.0,2.966537519213336,169.97007961813352,2.181139355815888,False,False,1,1000000.0,999994.0,0.15928831289932888,89.99764400774009,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,1,sampled_horizon_raw_safe,0.0,0.07,2.0376784991470585,999994.0,0.15653482972706584,0.09764027241025985,2.0376784991470585,999994.0,0.15653482972706584,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,rudder_sail_grid,78,none,True,0.08313622748026167,0.0,-18.245829388195343
1.5999999999999999,0.0031198060063810807,0.029619151641787016,1.3954068107073416,79.95092095734125,0.03626389728960468,0.0022733488350636065,-0.0019710549611035417,0.339198594910671,-0.6108652381980153,1.165007275706215,-35.0,66.75000000000001,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.00013051895024835037,-0.007478184995708444,False,1.5707963267948966,-1.5707963267948966,-90.0,2.966203137502238,169.95092095734125,2.18080497410479,False,False,1,1000000.0,999994.0,0.159198594910671,89.9968850680188,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,1,sampled_horizon_raw_safe,0.0,0.07,2.0376784991470585,999994.0,0.15653482972706584,0.09764027241025985,2.0376784991470585,999994.0,0.15653482972706584,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,rudder_sail_grid,78,none,True,0.08313622748026167,0.0,-18.245829388195343
1.7999999999999998,0.003996344422044703,0.03726053632733287,1.3949449361493773,79.92445749450542,0.040506203760526285,0.002443598794039517,-0.002667835310667091,0.33910825499612074,-0.6108652381980153,1.165007275706215,-35.0,66.75000000000001,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.00013051895024835037,-0.007478184995708444,False,1.5707963267948966,-1.5707963267948966,-90.0,2.965741262944274,169.92445749450542,2.1803430995468256,False,False,1,1000000.0,999994.0,0.15910825499612075,89.99601136896217,direct,nominal,ag_hpsf_pil,s3_low_energy_no_obstacle,False,1,sampled_horizon_raw_safe,0.0,0.07,2.0376784991470585,999994.0,0.15653482972706584,0.09764027241025985,2.0376784991470585,999994.0,0.15653482972706584,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,rudder_sail_grid,78,none,True,0.08313622748026167,0.0,-18.245829388195343
