t,X,Y,psi,psi_deg,u,v,r,E,rudder,sail,rudder_deg,sail_deg,rudder_nom,sail_nom,rudder_nom_deg,sail_nom_deg,psi_ref,psi_ref_deg,commanded_no_go,beta_w_to,beta_w_from,beta_w_from_deg,alpha_wind,alpha_wind_deg,h_wind,in_no_go,state_in_no_go,tack_side,dmin,h_obs,h_energy,distance_to_goal,mode,mode_reason,method,scenario,is_control_update,control_index,solver_status,solver_time_s,req_progress,pred_min_h_wind,pred_min_h_obs,pred_min_h_energy,pred_progress,pred_h_wind,pred_h_obs,pred_h_energy,slack_wind,slack_obs,slack_energy,slack_progress,slack_total,max_slack,safety_slack,progress_slack,slack_feasible,wind_constraint_ok,obs_constraint_ok,energy_constraint_ok,progress_constraint_ok,raw_wind_safe,raw_obs_safe,raw_energy_safe,raw_feasible_candidate_exists,chosen_candidate_raw_safe,candidate_type_selected,candidate_set_size,infeasible_reason,intervention,minimal_correction_norm,rudder_correction_deg,sail_correction_deg
0.0,0.0,0.0,0.9599310885968813,55.0,0.0,0.0,0.0,0.95,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.959931088596881,54.999999999999986,0.17453292519943275,False,False,1,1000000.0,999994.0,0.77,80.0,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,True,0,inactive_passthrough,8.899951353669167e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.2,0.0002641992308259023,0.0011818652096534836,0.9599311857522634,55.00000556659336,0.011196484204122349,0.004531535823762876,1.9457151108686067e-06,0.9499708197152791,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9599311857522634,55.00000556659336,0.17453302235481516,False,False,1,1000000.0,999994.0,0.769970819715279,79.99973580949924,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,0,inactive_passthrough,8.899951353669167e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.4,0.0011096766242383372,0.004690179427458203,0.9599326043821392,55.00008684809793,0.022390906401541816,0.008591060927589692,1.4928849829243211e-05,0.94994153156953,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9599326043821392,55.00008684809793,0.17453444098469095,False,False,1,1000000.0,999994.0,0.7699415315695299,79.9988904608638,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,0,inactive_passthrough,8.899951353669167e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.6000000000000001,0.0026092874128994543,0.010473180855330493,0.9599385177872941,55.00042566125585,0.03358137133207746,0.012227836952808735,4.831190430902693e-05,0.9499121355919414,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9599385177872941,55.00042566125585,0.17454035438984583,False,False,1,1000000.0,999994.0,0.7699121355919414,79.99739139815645,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,0,inactive_passthrough,8.899951353669167e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.8,0.00482798175956552,0.018484194860761735,0.9599537994407363,55.001301235502076,0.04476629440817098,0.015486132134809899,0.00010975641524228569,0.9498826318285699,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.04014257279587014,0.4799655442984405,2.3000000000000322,27.499999999999993,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9599537994407363,55.001301235502076,0.17455563604328805,False,False,1,1000000.0,999994.0,0.7698826318285699,79.99517415377841,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,0,inactive_passthrough,8.899951353669167e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.0,0.007823567254576622,0.028681173690809088,0.9599846958504985,55.003071469383556,0.05594451932311228,0.018405793418956703,0.00020535229400530378,0.9498530203387595,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9599846958504985,55.003071469383556,0.17458653245305022,False,False,1,1000000.0,999994.0,0.7698530203387595,79.99218157455887,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,True,1,inactive_passthrough,7.100170478224754e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.2,0.01164738471764665,0.04102632183749054,0.9600384553660026,55.00615166273061,0.0671154096796659,0.02102274758883991,0.000339022816207618,0.9498233125289064,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9600384553660026,55.00615166273061,0.17464029196855435,False,False,1,1000000.0,999994.0,0.7698233125289065,79.98836313655775,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,1,inactive_passthrough,7.100170478224754e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.4,0.016344910096390722,0.05548579357469843,0.9601230992944876,55.011001402594204,0.07827891397052789,0.02336943864661178,0.0005146442871804153,0.9497934975999863,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9601230992944876,55.011001402594204,0.1747249358970393,False,False,1,1000000.0,999994.0,0.7697934975999863,79.98367433554145,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,1,inactive_passthrough,7.100170478224754e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.5999999999999999,0.021956290719689048,0.0720294527093785,0.9602472475595931,55.01811457421862,0.08943561974658858,0.025475215140533188,0.0007343250899290965,0.9497635756205566,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9602472475595931,55.01811457421862,0.17484908416214484,False,False,1,1000000.0,999994.0,0.7697635756205565,79.97807614468861,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,1,inactive_passthrough,7.100170478224754e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.7999999999999998,0.028516826354928314,0.09063068471038938,0.9604198329240043,55.02800298720511,0.10058678693135403,0.027366668198317894,0.0009991063824345444,0.9497335466503324,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.03996798069250713,0.47999234792524925,2.28999660934102,27.501535734691778,0.9948376736367681,57.000000000000014,False,-3.141592653589793,0.0,0.0,0.9604198329240043,55.02800298720511,0.17502166952655607,False,False,1,1000000.0,999994.0,0.7697335466503323,79.97153452894104,port_tack,upwind_tack,ag_hpsf,s1_pure_upwind_tacking,False,1,inactive_passthrough,7.100170478224754e-06,0.07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
