t,X,Y,psi,psi_deg,u,v,r,E,rudder,sail,rudder_deg,sail_deg,rudder_nom,sail_nom,rudder_nom_deg,sail_nom_deg,psi_ref,psi_ref_deg,commanded_no_go,beta_w_to,beta_w_from,beta_w_from_deg,alpha_wind,alpha_wind_deg,h_wind,in_no_go,state_in_no_go,tack_side,dmin,h_obs,h_energy,distance_to_goal,mode,mode_reason,method,scenario,is_control_update,control_index,solver_status,solver_time_s,req_progress,pred_min_h_wind,pred_min_h_obs,pred_min_h_energy,pred_progress,pred_h_wind,pred_h_obs,pred_h_energy,pred_no_go_duration,slack_wind,slack_obs,slack_energy,slack_progress,safety_slack,progress_slack,slack_total,max_slack,slack_feasible,wind_constraint_ok,obs_constraint_ok,energy_constraint_ok,progress_constraint_ok,raw_wind_safe,raw_obs_safe,raw_energy_safe,raw_feasible_candidate_exists,chosen_candidate_raw_safe,candidate_type_selected,candidate_set_size,infeasible_reason,intervention,minimal_correction_norm,rudder_correction_deg,sail_correction_deg
0.0,0.0,0.0,1.3962634015954636,80.0,0.0,0.0,0.0,0.95,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9670597283903604,170.0,2.181661564992912,False,False,1,1000000.0,999994.0,0.77,80.0,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,True,0,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.2,4.125105028041632e-05,0.00047085696569701505,1.3962631400687542,79.99998501562332,0.0047086369455313195,0.00040397727947733876,-5.239307848902589e-06,0.9498720570110409,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9670594668636507,169.9999850156233,2.1816613034662025,False,False,1,1000000.0,999994.0,0.7698720570110409,79.9999587503354,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,0,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.4,0.00017068057866513112,0.0018823900055787105,1.3962593165742723,79.99976594552652,0.009416911453863239,0.000765878495425043,-4.026424082116523e-05,0.9497434237221926,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.967055643369169,169.99976594552652,2.1816574799717205,False,False,1,1000000.0,999994.0,0.7697434237221925,79.99982934156759,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,0,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.6000000000000001,0.00039613733881346374,0.004233109353412983,1.3962433434689636,79.99885075400661,0.014124499096440805,0.0010901078821984127,-0.00013065864688496933,0.9496141002110449,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.96703967026386,169.9988507540066,2.181641506866412,False,False,1,1000000.0,999994.0,0.7696141002110448,79.99960397465684,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,0,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
0.8,0.0007246930455317852,0.007521607216045598,1.3962019278387254,79.9964778131881,0.018831146673623216,0.001380642343009842,-0.0002979886233823094,0.9494840865979036,-0.6108652381980153,1.4835298641951802,-35.0,85.0,-0.6108652381980153,1.4835298641951802,-35.0,85.0,0.0,0.0,False,1.5707963267948966,-1.5707963267948966,-90.0,2.966998254633622,169.99647781318808,2.1816000912361737,False,False,1,1000000.0,999994.0,0.7694840865979036,79.99927566054878,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,0,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.0,0.0011627831573910463,0.011746553823816081,1.3961178197798363,79.99165877639071,0.023536700236529484,0.0016410882597352103,-0.0005603412041209892,0.9493533830332347,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.000146834055944547,-0.008412971694410359,False,1.5707963267948966,-1.5707963267948966,-90.0,2.966914146574733,169.9916587763907,2.1815159831772846,False,False,1,1000000.0,999994.0,0.7693533830332346,79.99883807923968,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,True,1,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.2,0.00171635465274853,0.01690669770187128,1.3959704608349899,79.9832157307775,0.028241128774805745,0.0018747304481782359,-0.0009327864484109344,0.9492219943399469,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.000146834055944547,-0.008412971694410359,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9667667876298864,169.9832157307775,2.181368624232438,False,False,1,1000000.0,999994.0,0.769221994339947,79.99828543186324,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,1,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.4,0.00239101869946839,0.023000869306457703,1.3957365465962122,79.96981343212752,0.03294454413486976,0.002084574381641932,-0.0014277756108589871,0.949089916018012,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.000146834055944547,-0.008412971694410359,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9665328733911087,169.96981343212752,2.1811347099936604,False,False,1,1000000.0,999994.0,0.769089916018012,79.99761228789922,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,1,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.5999999999999999,0.003192206489222248,0.030027987364031457,1.3953905151736885,79.94998729203802,0.03764721813890624,0.0022733826673441396,-0.0020554859119383314,0.9489571481980895,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.000146834055944547,-0.008412971694410359,False,1.5707963267948966,-1.5707963267948966,-90.0,2.966186841968585,169.949987292038,2.180788678571137,False,False,1,1000000.0,999994.0,0.7689571481980895,79.99681342923562,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,1,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
1.7999999999999998,0.004125326827012419,0.03798706741642025,1.394904971310825,79.92216767792745,0.04234959741220631,0.002443706640975475,-0.0028241206286026,0.9488236909583453,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.6108652381980153,1.4834570732873664,-35.0,84.99582938819535,-0.000146834055944547,-0.008412971694410359,False,1.5707963267948966,-1.5707963267948966,-90.0,2.9657012981057216,169.92216767792746,2.1803031347082733,False,False,1,1000000.0,999994.0,0.7688236909583452,79.99588369249565,direct,nominal,ag_hpsf_pil,s0_crosswind_sanity,False,1,inactive_passthrough,0.0,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,nominal_passthrough,1,none,False,0.0,0.0,0.0
