scenario,reference_rows,pil_rows,control_updates,max_abs_rudder_error_deg,max_abs_sail_error_deg,rms_rudder_error_deg,rms_sail_error_deg,protocol_failures
s0_crosswind_sanity,316,316,64,2.6645352591003757e-15,1.4210854715202004e-14,3.9667174900216572e-16,3.5527136788005009e-15,0
s1_pure_upwind_tacking,653,653,131,3.5527136788005009e-15,1.4210854715202004e-14,4.9562634420005431e-16,4.1237935513960204e-15,0
s2_obstacle_easy_wind,415,415,83,3.4194869158454821e-14,2.4868995751603507e-14,4.0154304002719162e-15,6.0286505728645935e-15,0
s3_low_energy_no_obstacle,354,354,71,1.7763568394002505e-15,4.2632564145606011e-14,2.9813710906150315e-16,8.6818836641606140e-15,0
s4_obstacle_escape_nogo,1274,1274,255,1.7763568394002505e-15,1.4210854715202004e-14,1.7226047489141473e-16,2.2469334198890887e-15,0
s5_coupled_wind_obstacle_energy,550,550,110,6.8611782921834674e-14,1.4210854715202004e-14,7.7150302222556588e-15,3.6048149117288236e-15,0
